golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_PeteJordan,0.001634052,-0.007762163,0.002727344
GOLFER_KeithClearwater,0.001636754,0.00099766,0.00099766
GOLFER_BrandonKnaub,0.001640322,0.001864284,0.001864284
GOLFER_JimRutledge,0.001665428,-0.001857528,0.004440788
GOLFER_NiclasFasth,0.001703303,-0.005992868,0.003226655
GOLFER_AndyBarrett,0.001715051,0.000310261,0.009442214
GOLFER_BrandtJobe,0.001728858,0.001780393,0.001780393
GOLFER_IanPoulter,0.001747144,-0.006278945,0.002754497
GOLFER_DavidIshii,0.001747648,-0.000381237,0.009547324
GOLFER_TommyTolles,0.001757778,-0.002268733,0.013489328
GOLFER_RonPhiloJr.,0.001766237,0.000720704,0.020329491
GOLFER_MichaelBeard,0.001772247,0.001772247,0.001772247
GOLFER_BrentSchwarzrock,0.00177451,-0.008370407,0.002681653
